2019-01-13 19:13:36 ===== Starting: ShallowRedExperiment =====
2019-01-13 19:13:47 Run
2019-01-13 19:13:47 id = 5 (machine1); Seed = 0; Starting new sample
2019-01-13 19:13:47 id = 4 (machine1); Seed = 1; Starting new sample
2019-01-13 19:13:47 id = 3 (machine1); Seed = 2; Starting new sample
2019-01-13 19:13:47 id = 2 (machine1); Seed = 3; Starting new sample
2019-01-13 19:13:47 id = 1 (machine1); Seed = 4; Starting new sample
2019-01-13 19:13:47 id = 0 (machine1); Seed = 5; Starting new sample
2019-01-13 19:14:37 id = 3 (machine1); Seed = 2; Done (0)
2019-01-13 19:14:37 id = 3 (machine1); Seed = 6; Starting new sample
2019-01-13 19:14:44 id = 2 (machine1); Seed = 3; Done (0)
2019-01-13 19:14:44 id = 2 (machine1); Seed = 7; Starting new sample
2019-01-13 19:14:49 id = 1 (machine1); Seed = 4; Done (0)
2019-01-13 19:14:49 id = 1 (machine1); Seed = 8; Starting new sample
2019-01-13 19:14:51 id = 4 (machine1); Seed = 1; Done (0)
2019-01-13 19:14:51 id = 4 (machine1); Seed = 9; Starting new sample
2019-01-13 19:15:03 id = 0 (machine1); Seed = 5; Done (0)
2019-01-13 19:15:03 id = 0 (machine1); Seed = 10; Starting new sample
2019-01-13 19:15:33 id = 2 (machine1); Seed = 7; Done (0)
2019-01-13 19:15:33 id = 2 (machine1); Seed = 11; Starting new sample
2019-01-13 19:15:37 id = 3 (machine1); Seed = 6; Done (0)
2019-01-13 19:15:37 id = 3 (machine1); Seed = 12; Starting new sample
2019-01-13 19:15:44 id = 1 (machine1); Seed = 8; Done (0)
2019-01-13 19:15:44 id = 1 (machine1); Seed = 13; Starting new sample
2019-01-13 19:15:46 id = 0 (machine1); Seed = 10; Done (0)
2019-01-13 19:15:46 id = 0 (machine1); Seed = 14; Starting new sample
2019-01-13 19:16:07 id = 4 (machine1); Seed = 9; Done (0)
2019-01-13 19:16:07 id = 4 (machine1); Seed = 15; Starting new sample
2019-01-13 19:16:13 id = 5 (machine1); Seed = 0; Done (0)
2019-01-13 19:16:13 id = 5 (machine1); Seed = 16; Starting new sample
2019-01-13 19:16:39 id = 2 (machine1); Seed = 11; Done (0)
2019-01-13 19:16:39 id = 2 (machine1); Seed = 17; Starting new sample
2019-01-13 19:16:52 id = 1 (machine1); Seed = 13; Done (0)
2019-01-13 19:16:52 id = 1 (machine1); Seed = 18; Starting new sample
2019-01-13 19:16:56 id = 3 (machine1); Seed = 12; Done (0)
2019-01-13 19:16:56 id = 3 (machine1); Seed = 19; Starting new sample
2019-01-13 19:16:58 id = 0 (machine1); Seed = 14; Done (0)
2019-01-13 19:16:59 id = 0 (machine1); Seed = 20; Starting new sample
2019-01-13 19:17:16 id = 5 (machine1); Seed = 16; Done (0)
2019-01-13 19:17:16 id = 5 (machine1); Seed = 21; Starting new sample
2019-01-13 19:17:18 id = 4 (machine1); Seed = 15; Done (0)
2019-01-13 19:17:18 id = 4 (machine1); Seed = 22; Starting new sample
2019-01-13 19:17:45 id = 0 (machine1); Seed = 20; Done (0)
2019-01-13 19:17:45 id = 0 (machine1); Seed = 23; Starting new sample
2019-01-13 19:17:58 id = 3 (machine1); Seed = 19; Done (0)
2019-01-13 19:17:58 id = 3 (machine1); Seed = 24; Starting new sample
2019-01-13 19:18:09 id = 2 (machine1); Seed = 17; Done (0)
2019-01-13 19:18:09 id = 2 (machine1); Seed = 25; Starting new sample
2019-01-13 19:18:18 id = 5 (machine1); Seed = 21; Done (0)
2019-01-13 19:18:18 id = 5 (machine1); Seed = 26; Starting new sample
2019-01-13 19:18:21 id = 4 (machine1); Seed = 22; Done (0)
2019-01-13 19:18:21 id = 4 (machine1); Seed = 27; Starting new sample
2019-01-13 19:18:54 id = 1 (machine1); Seed = 18; Done (0)
2019-01-13 19:18:54 id = 1 (machine1); Seed = 28; Starting new sample
2019-01-13 19:19:07 id = 2 (machine1); Seed = 25; Done (0)
2019-01-13 19:19:07 id = 2 (machine1); Seed = 29; Starting new sample
2019-01-13 19:19:15 id = 3 (machine1); Seed = 24; Done (0)
2019-01-13 19:19:15 id = 3 (machine1); Seed = 30; Starting new sample
2019-01-13 19:19:24 id = 5 (machine1); Seed = 26; Done (0)
2019-01-13 19:19:24 id = 5 (machine1); Seed = 31; Starting new sample
2019-01-13 19:19:25 id = 0 (machine1); Seed = 23; Done (0)
2019-01-13 19:19:25 id = 0 (machine1); Seed = 32; Starting new sample
2019-01-13 19:19:33 id = 4 (machine1); Seed = 27; Done (0)
2019-01-13 19:19:33 id = 4 (machine1); Seed = 33; Starting new sample
2019-01-13 19:20:03 id = 3 (machine1); Seed = 30; Done (0)
2019-01-13 19:20:03 id = 3 (machine1); Seed = 34; Starting new sample
2019-01-13 19:20:05 id = 1 (machine1); Seed = 28; Done (0)
2019-01-13 19:20:06 id = 1 (machine1); Seed = 35; Starting new sample
2019-01-13 19:20:07 id = 5 (machine1); Seed = 31; Done (0)
2019-01-13 19:20:07 id = 5 (machine1); Seed = 36; Starting new sample
2019-01-13 19:20:10 id = 0 (machine1); Seed = 32; Done (0)
2019-01-13 19:20:10 id = 0 (machine1); Seed = 37; Starting new sample
2019-01-13 19:20:23 id = 4 (machine1); Seed = 33; Done (0)
2019-01-13 19:20:23 id = 4 (machine1); Seed = 38; Starting new sample
2019-01-13 19:20:45 id = 1 (machine1); Seed = 35; Done (0)
2019-01-13 19:20:45 id = 1 (machine1); Seed = 39; Starting new sample
2019-01-13 19:20:50 id = 3 (machine1); Seed = 34; Done (0)
2019-01-13 19:20:50 id = 3 (machine1); Seed = 40; Starting new sample
2019-01-13 19:20:56 id = 2 (machine1); Seed = 29; Done (0)
2019-01-13 19:20:56 id = 2 (machine1); Seed = 41; Starting new sample
2019-01-13 19:21:00 id = 5 (machine1); Seed = 36; Done (0)
2019-01-13 19:21:00 id = 5 (machine1); Seed = 42; Starting new sample
2019-01-13 19:21:23 id = 4 (machine1); Seed = 38; Done (0)
2019-01-13 19:21:23 id = 4 (machine1); Seed = 43; Starting new sample
2019-01-13 19:21:42 id = 2 (machine1); Seed = 41; Done (0)
2019-01-13 19:21:42 id = 2 (machine1); Seed = 44; Starting new sample
2019-01-13 19:21:57 id = 3 (machine1); Seed = 40; Done (0)
2019-01-13 19:21:57 id = 3 (machine1); Seed = 45; Starting new sample
2019-01-13 19:22:02 id = 5 (machine1); Seed = 42; Done (0)
2019-01-13 19:22:02 id = 5 (machine1); Seed = 46; Starting new sample
2019-01-13 19:22:22 id = 1 (machine1); Seed = 39; Done (0)
2019-01-13 19:22:22 id = 1 (machine1); Seed = 47; Starting new sample
2019-01-13 19:22:29 id = 0 (machine1); Seed = 37; Done (0)
2019-01-13 19:22:29 id = 0 (machine1); Seed = 48; Starting new sample
2019-01-13 19:22:30 id = 4 (machine1); Seed = 43; Done (0)
2019-01-13 19:22:30 id = 4 (machine1); Seed = 49; Starting new sample
2019-01-13 19:22:40 id = 2 (machine1); Seed = 44; Done (0)
2019-01-13 19:22:40 id = 2 (machine1); Seed = 50; Starting new sample
2019-01-13 19:23:03 id = 3 (machine1); Seed = 45; Done (0)
2019-01-13 19:23:03 id = 3 (machine1); Seed = 51; Starting new sample
2019-01-13 19:23:04 id = 4 (machine1); Seed = 49; Done (0)
2019-01-13 19:23:04 id = 4 (machine1); Seed = 52; Starting new sample
2019-01-13 19:23:06 id = 5 (machine1); Seed = 46; Done (0)
2019-01-13 19:23:06 id = 5 (machine1); Seed = 53; Starting new sample
2019-01-13 19:23:24 id = 2 (machine1); Seed = 50; Done (0)
2019-01-13 19:23:24 id = 2 (machine1); Seed = 54; Starting new sample
2019-01-13 19:23:46 id = 3 (machine1); Seed = 51; Done (0)
2019-01-13 19:23:46 id = 3 (machine1); Seed = 55; Starting new sample
2019-01-13 19:23:49 id = 1 (machine1); Seed = 47; Done (0)
2019-01-13 19:23:49 id = 1 (machine1); Seed = 56; Starting new sample
2019-01-13 19:24:04 id = 4 (machine1); Seed = 52; Done (0)
2019-01-13 19:24:04 id = 4 (machine1); Seed = 57; Starting new sample
2019-01-13 19:24:24 id = 0 (machine1); Seed = 48; Done (0)
2019-01-13 19:24:24 id = 0 (machine1); Seed = 58; Starting new sample
2019-01-13 19:24:24 id = 5 (machine1); Seed = 53; Done (0)
2019-01-13 19:24:24 id = 5 (machine1); Seed = 59; Starting new sample
2019-01-13 19:24:45 id = 1 (machine1); Seed = 56; Done (0)
2019-01-13 19:24:45 id = 1 (machine1); Seed = 60; Starting new sample
2019-01-13 19:25:04 id = 3 (machine1); Seed = 55; Done (0)
2019-01-13 19:25:04 id = 3 (machine1); Seed = 61; Starting new sample
2019-01-13 19:25:06 id = 4 (machine1); Seed = 57; Done (0)
2019-01-13 19:25:06 id = 4 (machine1); Seed = 62; Starting new sample
2019-01-13 19:25:10 id = 2 (machine1); Seed = 54; Done (0)
2019-01-13 19:25:10 id = 2 (machine1); Seed = 63; Starting new sample
2019-01-13 19:25:32 id = 0 (machine1); Seed = 58; Done (0)
2019-01-13 19:25:32 id = 0 (machine1); Seed = 64; Starting new sample
2019-01-13 19:26:06 id = 1 (machine1); Seed = 60; Done (0)
2019-01-13 19:26:06 id = 1 (machine1); Seed = 65; Starting new sample
2019-01-13 19:26:07 id = 3 (machine1); Seed = 61; Done (0)
2019-01-13 19:26:07 id = 3 (machine1); Seed = 66; Starting new sample
2019-01-13 19:26:08 id = 5 (machine1); Seed = 59; Done (0)
2019-01-13 19:26:08 id = 5 (machine1); Seed = 67; Starting new sample
2019-01-13 19:26:19 id = 0 (machine1); Seed = 64; Done (0)
2019-01-13 19:26:19 id = 0 (machine1); Seed = 68; Starting new sample
2019-01-13 19:26:30 id = 4 (machine1); Seed = 62; Done (0)
2019-01-13 19:26:30 id = 4 (machine1); Seed = 69; Starting new sample
2019-01-13 19:26:37 id = 2 (machine1); Seed = 63; Done (0)
2019-01-13 19:26:37 id = 2 (machine1); Seed = 70; Starting new sample
2019-01-13 19:26:53 id = 3 (machine1); Seed = 66; Done (0)
2019-01-13 19:26:53 id = 3 (machine1); Seed = 71; Starting new sample
2019-01-13 19:27:05 id = 0 (machine1); Seed = 68; Done (0)
2019-01-13 19:27:05 id = 0 (machine1); Seed = 72; Starting new sample
2019-01-13 19:27:20 id = 5 (machine1); Seed = 67; Done (0)
2019-01-13 19:27:20 id = 5 (machine1); Seed = 73; Starting new sample
2019-01-13 19:27:20 id = 2 (machine1); Seed = 70; Done (0)
2019-01-13 19:27:20 id = 2 (machine1); Seed = 74; Starting new sample
2019-01-13 19:27:22 id = 4 (machine1); Seed = 69; Done (0)
2019-01-13 19:27:22 id = 4 (machine1); Seed = 75; Starting new sample
2019-01-13 19:27:30 id = 1 (machine1); Seed = 65; Done (0)
2019-01-13 19:27:30 id = 1 (machine1); Seed = 76; Starting new sample
2019-01-13 19:27:58 id = 3 (machine1); Seed = 71; Done (0)
2019-01-13 19:27:58 id = 3 (machine1); Seed = 77; Starting new sample
2019-01-13 19:28:11 id = 4 (machine1); Seed = 75; Done (0)
2019-01-13 19:28:11 id = 4 (machine1); Seed = 78; Starting new sample
2019-01-13 19:28:20 id = 0 (machine1); Seed = 72; Done (0)
2019-01-13 19:28:20 id = 0 (machine1); Seed = 79; Starting new sample
2019-01-13 19:28:21 id = 5 (machine1); Seed = 73; Done (0)
2019-01-13 19:28:21 id = 5 (machine1); Seed = 80; Starting new sample
